mode,frame,point_count,triangle_count,black_pixel_ratio,landmark_alignment_error,generated_image
manual,1,92,174,0.004730526090217508,0.6720291972160339,generated-images\manual-linear-dissolve\inter_1.jpg
manual,2,92,174,0.002651880424300868,1.8164677619934082,generated-images\manual-linear-dissolve\inter_2.jpg
manual,3,92,174,0.0022607950283938714,2.158003807067871,generated-images\manual-linear-dissolve\inter_3.jpg
manual,4,92,174,0.0006482374370513233,2.250574827194214,generated-images\manual-linear-dissolve\inter_4.jpg
manual,5,92,174,0.00039376406300225007,2.575658082962036,generated-images\manual-linear-dissolve\inter_5.jpg
manual,6,92,174,0.00020090003214400515,2.697676420211792,generated-images\manual-linear-dissolve\inter_6.jpg
manual,7,92,174,0.0001607200257152041,2.9874868392944336,generated-images\manual-linear-dissolve\inter_7.jpg
manual,8,92,174,8.839601414336226e-05,2.8932430744171143,generated-images\manual-linear-dissolve\inter_8.jpg
manual,9,92,174,5.3573341905068036e-05,3.471702814102173,generated-images\manual-linear-dissolve\inter_9.jpg
manual,10,92,174,0.0009053894781956499,3.3303725719451904,generated-images\manual-linear-dissolve\inter_10.jpg
manual,11,92,174,2.4108003857280618e-05,3.6712281703948975,generated-images\manual-linear-dissolve\inter_11.jpg
manual,12,92,174,1.3393335476267009e-05,3.878005027770996,generated-images\manual-linear-dissolve\inter_12.jpg
manual,13,92,174,1.3393335476267009e-05,3.746030330657959,generated-images\manual-linear-dissolve\inter_13.jpg
manual,14,92,174,2.678667095253402e-06,4.10935115814209,generated-images\manual-linear-dissolve\inter_14.jpg
manual,15,92,174,2.678667095253402e-06,4.400218963623047,generated-images\manual-linear-dissolve\inter_15.jpg
manual,16,92,174,0.0,4.56983757019043,generated-images\manual-linear-dissolve\inter_16.jpg
manual,17,92,174,0.0007768134576234865,4.731684684753418,generated-images\manual-linear-dissolve\inter_17.jpg
manual,18,92,174,0.0,4.8027663230896,generated-images\manual-linear-dissolve\inter_18.jpg
manual,19,92,174,2.678667095253402e-06,4.733443260192871,generated-images\manual-linear-dissolve\inter_19.jpg
manual,20,92,174,0.0,5.358500003814697,generated-images\manual-linear-dissolve\inter_20.jpg
manual,21,92,174,0.0,5.6211066246032715,generated-images\manual-linear-dissolve\inter_21.jpg
manual,22,92,174,0.0,5.617519855499268,generated-images\manual-linear-dissolve\inter_22.jpg
manual,23,92,174,0.0,5.500939846038818,generated-images\manual-linear-dissolve\inter_23.jpg
manual,24,92,174,2.678667095253402e-06,6.000536918640137,generated-images\manual-linear-dissolve\inter_24.jpg
manual,25,92,174,0.0,6.185007095336914,generated-images\manual-linear-dissolve\inter_25.jpg
manual,26,92,174,0.0,6.92536735534668,generated-images\manual-linear-dissolve\inter_26.jpg
manual,27,92,174,0.0,6.771039962768555,generated-images\manual-linear-dissolve\inter_27.jpg
manual,28,92,174,0.0,6.322957515716553,generated-images\manual-linear-dissolve\inter_28.jpg
manual,29,92,174,0.0,6.219494819641113,generated-images\manual-linear-dissolve\inter_29.jpg
manual,30,92,174,0.0,6.905974864959717,generated-images\manual-linear-dissolve\inter_30.jpg
manual,31,92,174,0.0,6.7182416915893555,generated-images\manual-linear-dissolve\inter_31.jpg
manual,32,92,174,2.678667095253402e-06,6.762639999389648,generated-images\manual-linear-dissolve\inter_32.jpg
manual,33,92,174,0.0,6.816335201263428,generated-images\manual-linear-dissolve\inter_33.jpg
manual,34,92,174,0.0,7.495159149169922,generated-images\manual-linear-dissolve\inter_34.jpg
manual,35,92,174,0.0,6.926776885986328,generated-images\manual-linear-dissolve\inter_35.jpg
manual,36,92,174,0.0,7.023227214813232,generated-images\manual-linear-dissolve\inter_36.jpg
manual,37,92,174,0.0,6.328736305236816,generated-images\manual-linear-dissolve\inter_37.jpg
manual,38,92,174,0.0,7.1880927085876465,generated-images\manual-linear-dissolve\inter_38.jpg
